pays,ligue1,ligue2,ligue3,ligue4
Inde,Indian Super League,I-League,I-League 2,
Indonésie,Liga 1,Liga 2,Liga 3,
Irak,Iraqi Premier League,,
Iran,Persian Gulf Pro League,Azadegan League,,
Irlande,League of Ireland Premier,First Division,,
Islande,Úrvalsdeild,1. deild,2. deild,
Israël,Ligat Ha'Al,Liga Leumit,Liga Alef,
Italie,Serie A,Serie B,Serie C,Serie D
Jamaïque,National Premier League,,
Japon,J1 League,J2 League,J3 League,
Jordanie,Jordanian Pro League,,
Kazakhstan,Premier League,First League,,
Kenya,Kenya Premier League,,
Kosovo,Superliga,First League,,
Koweït,Premier League,First Division,,
Laos,Lao League 1,,
Lesotho,Lesotho Premier League,,
Lettonie,Virslīga,First League,,
Liban,Lebanese Premier League,Second Division,,
Libye,Libyan Premier League,Second Division,,
Liechtenstein,No league (play in Swiss),,,
Lituanie,A Lyga,First League,,
Luxembourg,Nationalliga,Division of Honour,,
Macédoine,First League,Second League,,
Madagascar,Madagascar Premier League,,
Malaisie,Malaysia Super League,Malaysia Premier League,,
Malawi,Malawi Super League,,
Maldives,Dhivehi Premier League,,
Mali,Malian Première Division,,
Malte,Maltese Premier League,Challenge League,,
Maroc,Botola Pro,Botola 2,,
Maurice,Mauritian Premier League,,
Mauritanie,Super D1,,
Mexique,Liga MX,Liga de Expansión,Liga Premier,
Moldavie,Super Liga,Divizia A,,
Monaco,No league (play in France),,,
Mongolie,National Premier League,,
Monténégro,First League,Second League,,
Mozambique,Mozambola,,
Namibie,Namibia Premier League,,
Népal,Nepal Super League,,
Nicaragua,Liga Primera,,
Niger,Super Ligue,,
Nigéria,NPFL,NNL,NLO,
Norvège,Eliteserien,OBOS-ligaen,PostNord-ligaen,
Nouvelle-Zélande,New Zealand National League,,
Oman,Oman Professional League,,
Ouganda,Uganda Premier League,,
Ouzbékistan,Super League,Pro League,,
Pakistan,Pakistan Premier League,,
Panama,Liga Panameña,,
Papouasie-Nouvelle-Guinée,PNG National Soccer League,,
Paraguay,Primera División,División Intermedia,,
Pays-Bas,Eredivisie,Eerste Divisie,Tweede Divisie,
Pérou,Liga 1,Liga 2,,
Philippines,Philippines Football League,,
Pologne,Ekstraklasa,I Liga,II Liga,III Liga
Portugal,Primeira Liga,Liga Portugal 2,Liga 3,
Qatar,Qatar Stars League,Second Division,,
RDC,Linafoot,,
République tchèque,First League,Second League,Third League,
Roumanie,Liga I,Liga II,Liga III,
Russie,Premier League,First League,Second League,
Rwanda,Rwanda Premier League,,
Saint-Marin,Campionato Sammarinese,,
Salvador,Primera División,,
Sao Tomé,National Championship,,
Sénégal,Ligue 1,Ligue 2,,
Serbie,SuperLiga,First League,,
Seychelles,Seychelles Premier League,,
Sierra Leone,Sierra Leone Premier League,,
Singapour,Singapore Premier League,,
Slovaquie,Super Liga,2. Liga,3. Liga,
Slovénie,Prva Liga,Second League,,
Somalie,Somalia Premier League,,
Soudan,Sudan Premier League,,
Soudan du Sud,South Sudan Premier League,,
Sri Lanka,Sri Lanka Champions League,,
Suède,Allsvenskan,Superettan,Ettan,
Suisse,Super League,Challenge League,1. Liga,
Suriname,SVB Eerste Divisie,,
Syrie,Syrian Premier League,,
Tadjikistan,Tajikistan Higher League,,
Tanzanie,Tanzania Premier League,,
Tchad,Chad Premier League,,
Thaïlande,Thai League 1,Thai League 2,Thai League 3,
Togo,Championnat National D1,,
Tonga,Tonga Major League,,
Trinité-et-Tobago,TT Pro League,,
Tunisie,Ligue 1,Ligue 2,Ligue 3,
Turkménistan,Yokary Liga,,
Turquie,Süper Lig,1. Lig,2. Lig,3. Lig
Ukraine,Premier League,First League,Second League,
Uruguay,Primera División,Segunda División,,
Vanuatu,Vanuatu Premier League,,
Venezuela,Primera División,Segunda División,,
Viêt Nam,V.League 1,V.League 2,,
Yémen,Yemeni League,,
Zambie,Super League,,
Zimbabwe,Zimbabwe Premier League,,
